iter	Passed	Remaining
0	0	57
1	1	60
2	1	55
3	2	50
4	2	53
5	3	53
6	3	52
7	4	51
8	17	179
9	18	167
10	20	168
11	22	164
12	25	168
13	27	169
14	30	173
15	37	196
16	40	198
17	41	190
18	42	181
19	43	172
20	44	166
21	46	163
22	47	160
23	49	156
24	51	154
25	52	148
26	53	145
27	54	140
28	55	134
29	55	129
30	56	125
31	56	120
32	57	116
33	57	111
34	57	107
35	58	103
36	58	100
37	59	97
38	59	93
39	60	90
40	61	88
41	61	84
42	62	82
43	62	80
44	63	77
45	64	75
46	64	73
47	65	71
48	66	69
49	67	67
50	68	66
51	70	65
52	72	64
53	72	62
54	73	59
55	73	57
56	74	56
57	74	54
58	75	52
59	76	50
60	76	49
61	77	47
62	78	45
63	79	44
64	80	43
65	81	42
66	82	40
67	82	38
68	82	37
69	83	35
70	84	34
71	84	32
72	85	31
73	86	30
74	87	29
75	89	28
76	90	26
77	90	25
78	91	24
79	92	23
80	93	21
81	93	20
82	94	19
83	95	18
84	96	17
85	97	15
86	97	14
87	98	13
88	99	12
89	100	11
90	100	9
91	102	8
92	103	7
93	104	6
94	104	5
95	105	4
96	105	3
97	106	2
98	108	1
99	109	0
