iter	Passed	Remaining
0	59	59486
1	59	29875
2	60	20009
3	60	15074
4	60	12109
5	61	10135
6	61	8728
7	61	7678
8	62	6850
9	62	6195
10	62	5655
11	63	5203
12	63	4820
13	63	4492
14	64	4207
15	64	3961
16	64	3744
17	65	3548
18	65	3373
19	65	3219
20	66	3077
21	66	2950
22	66	2831
23	66	2723
24	67	2624
25	67	2532
26	67	2446
27	68	2367
28	68	2294
29	68	2225
30	69	2164
31	69	2105
32	69	2049
33	70	1995
34	70	1944
35	70	1896
36	71	1851
37	71	1808
38	71	1767
39	72	1728
40	72	1693
41	72	1661
42	73	1630
43	73	1597
44	73	1567
45	74	1538
46	74	1510
47	74	1483
48	75	1456
49	75	1431
50	75	1407
51	75	1383
52	76	1361
53	76	1340
54	76	1320
55	77	1300
56	77	1281
57	77	1262
58	77	1243
59	78	1226
60	78	1209
61	78	1193
62	79	1176
63	79	1161
64	79	1146
65	79	1131
66	80	1117
67	80	1102
68	80	1088
69	80	1075
70	81	1062
71	81	1050
72	81	1038
73	82	1026
74	82	1014
75	82	1003
76	82	993
77	83	982
78	83	972
79	83	962
80	84	953
81	84	943
82	84	933
83	84	924
84	85	915
85	85	908
86	85	899
87	85	891
88	86	883
89	86	875
90	86	867
91	87	859
92	87	852
93	87	844
94	87	837
95	88	830
96	88	823
97	88	817
98	89	810
99	89	803
100	89	797
101	89	790
102	90	784
103	90	778
104	90	773
105	90	767
106	91	761
107	91	756
108	91	750
109	92	744
110	92	739
111	92	734
112	92	729
113	93	724
114	93	719
115	93	714
116	93	708
117	94	704
118	94	699
119	94	694
120	95	690
121	95	685
122	95	681
123	95	677
124	96	672
125	96	668
126	96	663
127	96	659
128	97	655
129	97	651
130	97	647
131	97	644
132	98	640
133	98	636
134	98	632
135	98	628
136	99	625
137	99	621
138	99	618
139	100	615
140	100	612
141	100	607
142	100	604
143	101	601
144	101	598
145	101	595
146	102	592
147	102	589
148	102	586
149	102	582
150	103	579
151	103	576
152	103	574
153	103	571
154	104	568
155	104	565
156	104	562
157	104	559
158	105	556
159	105	553
160	105	550
161	105	547
162	106	545
163	106	542
164	106	539
165	106	537
166	107	534
167	107	532
168	107	530
169	108	528
170	108	526
171	108	523
172	109	521
173	109	519
174	109	516
175	109	514
176	110	512
177	110	510
178	110	508
179	111	506
180	111	503
181	111	501
182	111	499
183	112	497
184	112	495
185	112	493
186	113	491
187	113	489
188	113	487
189	113	485
190	114	483
191	114	481
192	114	479
193	115	478
194	115	476
195	115	475
196	116	473
197	116	471
198	116	470
199	117	468
200	117	466
201	117	464
202	117	462
203	118	461
204	118	459
205	118	457
206	119	456
207	119	454
208	119	452
209	119	451
210	120	449
211	120	447
212	120	446
213	121	444
214	121	442
215	121	441
216	121	440
217	122	438
218	122	437
219	122	435
220	123	434
221	123	432
222	123	431
223	124	429
224	124	428
225	124	426
226	124	425
227	125	423
228	125	422
229	125	420
230	126	419
231	126	418
232	126	416
233	126	415
234	127	414
235	127	412
236	127	411
237	128	409
238	128	408
239	128	407
240	128	406
241	129	404
242	129	403
243	129	401
244	130	400
245	130	399
246	130	398
247	130	396
248	131	395
249	131	394
250	131	392
251	131	391
252	132	390
253	132	389
254	132	388
255	133	386
256	133	385
257	133	384
258	133	383
259	134	382
260	134	380
261	134	379
262	135	378
263	135	377
264	135	376
265	135	374
266	136	373
267	136	372
268	136	371
269	136	370
270	137	369
271	137	368
272	137	367
273	138	366
274	138	364
275	138	363
276	138	362
277	139	361
278	139	360
279	139	359
280	140	358
281	140	357
282	140	356
283	140	355
284	141	354
285	141	352
286	141	351
287	141	350
288	142	349
289	142	348
290	142	347
291	143	346
292	143	345
293	143	344
294	143	343
295	144	342
296	144	341
297	144	340
298	144	339
299	145	338
300	145	337
301	145	337
302	146	336
303	146	335
304	146	334
305	147	333
306	147	332
307	147	331
308	148	331
309	148	330
310	148	329
311	148	328
312	149	327
313	149	326
314	149	325
315	150	324
316	150	323
317	150	322
318	150	321
319	151	321
320	151	320
321	151	319
322	151	318
323	152	317
324	152	316
325	152	315
326	152	314
327	153	313
328	153	312
329	153	311
330	153	311
331	154	310
332	154	309
333	154	308
334	155	307
335	155	306
336	155	306
337	155	305
338	156	304
339	156	303
340	156	302
341	156	301
342	157	301
343	157	300
344	157	299
345	158	299
346	158	298
347	158	297
348	159	296
349	159	295
350	159	295
351	159	294
352	160	293
353	160	292
354	160	291
355	160	291
356	161	290
357	161	289
358	161	289
359	162	288
360	162	287
361	162	287
362	163	286
363	163	285
364	163	284
365	163	284
366	164	283
367	164	282
368	164	281
369	165	281
370	165	280
371	165	279
372	166	279
373	166	278
374	166	277
375	166	277
376	167	276
377	167	275
378	167	275
379	168	274
380	168	273
381	168	272
382	168	272
383	169	271
384	169	270
385	169	270
386	170	269
387	170	268
388	170	268
389	170	267
390	171	266
391	171	265
392	171	265
393	172	264
394	172	264
395	172	263
396	172	262
397	173	262
398	173	261
399	173	260
400	174	259
401	174	259
402	174	258
403	174	257
404	175	257
405	175	256
406	175	255
407	175	255
408	176	254
409	176	253
410	176	253
411	176	252
412	177	251
413	177	251
414	177	250
415	178	249
416	178	249
417	178	248
418	178	248
419	179	247
420	179	246
421	179	246
422	179	245
423	180	244
424	180	244
425	180	243
426	180	242
427	181	242
428	181	241
429	181	240
430	182	240
431	182	239
432	182	239
433	182	238
434	183	237
435	183	237
436	183	236
437	184	236
438	184	235
439	184	234
440	184	234
441	185	233
442	185	233
443	185	232
444	185	231
445	186	231
446	186	230
447	186	230
448	187	229
449	187	229
450	187	228
451	187	227
452	188	227
453	188	226
454	188	226
455	189	225
456	189	224
457	189	224
458	189	223
459	190	223
460	190	222
461	190	222
462	191	221
463	191	221
464	191	220
465	191	219
466	192	219
467	192	218
468	192	218
469	193	217
470	193	217
471	193	216
472	193	216
473	194	215
474	194	214
475	194	214
476	195	213
477	195	213
478	195	212
479	196	212
480	196	211
481	196	211
482	196	210
483	197	210
484	197	209
485	197	209
486	198	208
487	198	208
488	198	207
489	198	206
490	199	206
491	199	205
492	199	205
493	199	204
494	200	204
495	200	203
496	200	203
497	200	202
498	201	202
499	201	201
500	201	200
501	202	200
502	202	199
503	202	199
504	202	198
505	203	198
506	203	197
507	203	197
508	204	196
509	204	196
510	204	195
511	204	195
512	205	194
513	205	194
514	205	193
515	206	193
516	206	192
517	206	192
518	206	191
519	207	191
520	207	190
521	207	190
522	207	189
523	208	189
524	208	188
525	208	188
526	209	187
527	209	187
528	209	186
529	209	186
530	210	185
531	210	185
532	210	184
533	211	184
534	211	183
535	211	183
536	211	182
537	212	182
538	212	181
539	212	181
540	212	180
541	213	180
542	213	179
543	213	179
544	213	178
545	214	178
546	214	177
547	214	177
548	215	176
549	215	176
550	215	175
551	215	175
552	216	174
553	216	174
554	216	173
555	216	173
556	217	172
557	217	172
558	217	171
559	217	171
560	218	170
561	218	170
562	218	169
563	219	169
564	219	168
565	219	168
566	219	167
567	220	167
568	220	167
569	220	166
570	221	166
571	221	165
572	221	165
573	221	164
574	222	164
575	222	163
576	222	163
577	223	162
578	223	162
579	223	162
580	224	161
581	224	161
582	224	160
583	224	160
584	225	159
585	225	159
586	225	158
587	225	158
588	226	157
589	226	157
590	226	156
591	227	156
592	227	155
593	227	155
594	227	155
595	228	154
596	228	154
597	228	153
598	228	153
599	229	152
600	229	152
601	229	151
602	229	151
603	230	150
604	230	150
605	230	150
606	231	149
607	231	149
608	231	148
609	231	148
610	232	147
611	232	147
612	232	146
613	232	146
614	233	145
615	233	145
616	233	145
617	234	144
618	234	144
619	234	143
620	234	143
621	235	142
622	235	142
623	235	141
624	235	141
625	236	141
626	236	140
627	236	140
